,Title,LastName,Name,Position,Email,Agency,MailingAddress1,MailingAddress2,Email Address,Contact Number,Fax,Website,,,Email Tracking Status,Document URL,Data Merge Id,Data Merge Status
Attached Agencies of DND,,,,,,,,,,,,,,Done,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTWWFRSzZ1M1RQX00/view?usp=drivesdk,,Done
22,Usec.,Pama,Alexander P. Pama,Administrator,ocda.ocd@gmail.com,Office of Civil Defense,"Camp General Emilio Aguinaldo, Quezon City",,,Tel.: 912-6675; 911-6001,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTTXM5ZnhJaWgxX1E/view?usp=drivesdk,,Done
23,General,Catapang,Gregorio Pio P. Catapang Jr.,Chief of Staff,,Armed Forces of the Philippines,"Camp General Emilio Aguinaldo, Quezon City",,,Tel.: 911-6436; 911-6001,,,,Done,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTdGxJVHRfR0sxVGM/view?usp=drivesdk,,Done
,General,Iriberri,Hernando Delfin Carmelo A. Iriberri,Chief of Staff,,Armed Forces of the Philippines,"Camp General Emilio Aguinaldo, Quezon City",,,,,,,Done,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTQS1pd1lkc2FZcm8/view?usp=drivesdk,,Done
Bureaus and Attached Agencies of DENR,,,,,,,,,,,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTT3N6UGJfeXI1U0k/view?usp=drivesdk,,Done
24,Director,Adornado,Henry A. Adornado,Acting Director,hea@denr.gov.ph,Ecosystem Research Development Bureau (ERDB),"UPLB Forestry Campus, College","Los Banos, Laguna, Philippines 4031",erdb@denr.gov.ph,Tel. No. (049) 536-3628,,erdb.denr.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTX3ROQW1GdWtMYUE/view?usp=drivesdk,,Done
25,Director,Calderon,Ricardo L. Calderon,Director,"fmb-director@mozcom.com,
fmbdenr@mozcom.com",Forest Management Bureau (FMB),Visayas Avenue,"Diliman, Quezon City 1100",,"Tel. No. 927-4788, 928-9313 ",,www.forestry.denr.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTRy15RFdwR0pQZk0/view?usp=drivesdk,,Done
26,Director,Talabis,Atty. Emelyne V. Talabis,OIC – Director,denrlmb@yahoo.com,Land Management Bureau (LMB),Plaza Cervantes,"Binondo Manila, Philippines",,"Tel. No. 480-0014, 243-6651 ",,www.lmb.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTaUE5SFlLTHpDQW8/view?usp=drivesdk,,Done
27,Director,Lim,Theresa Mundita S. Lim,Director,pawbdir@yahoo.com; director@bmb.gov.ph,Biodiversity Management Bureau (BMB),"Ninoy Aquino Parks and Wildlife Center, North Avenue","Diliman, Quezon City 1100",,"Tel. No. 920-4417, Trunkline 924-60-31 Local 203, 204",,www.pawb.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTVzZHekhiYkZNdUk/view?usp=drivesdk,,Done
28,Director,Cuna,Atty. Juan Miguel T. Cuna,Assistant Secretary – Director,ecac.emb@gmail.com,Environmental Management Bureau (EMB),"DENR Compound, Visayas Avenue","Diliman, Quezon City 1100",,Tel. No. 927-1517 ,,www.emb.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTbU5rcE05VUJJZ3M/view?usp=drivesdk,,Done
29,Director,Jasareno,Leo L. Jasareno,Acting Director,ljasareno@mgb.gov.ph,Mines & Geosciences Bureau (MGB),"MGB Compound, North Avenue","Diliman, Quezon City 1100",,"Tel. No. 928-8642, 920-9120 Fax No. 920-1635",,www.mgb.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTNzRrRW5xM2NRN1k/view?usp=drivesdk,,Done
30,Usec.,Tiangco,Peter N. Tiangco,Administrator,ptiangco@namria.gov.ph,National Mapping Resource and Information Authority (NAMRIA),"NAMRIA Main Office, Lawton Ave., Fort Andres Bonifacio","1634 Taguig City, Philippines",,Tel. No. 810-5456-54 Trunkline 810-4831 Local 100,,www.namria.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTVDhXeGNISkNsWDg/view?usp=drivesdk,,Done
31,General Manager,Acosta,J.R. Nereus O. Acosta,General Manager,ogm@llda.gov.ph,Laguna Lake Development Authority (LLDA),"National Ecology Center, East Avenue","Diliman, Quezon City 1100",,Tel. Nos. 377-1922,,www.llda.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTWkRiVk9lX1NSN3c/view?usp=drivesdk,,Done
32,President,Quimbo,Lucio Jr. A. Quimbo,OIC-President,yongquim@yahoo.com.ph,Natural Resources Development Corp.(NRDC),"9th Flr., By The Bay Building, Roxas Boulevard",Manila Philippines 1515,,Tel. No. 521-9455,,www.nrdc.gov.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTajVrMjQ5aTNva2M/view?usp=drivesdk,,Done
33,Chairperson,Lopez,Regina Paz L. Lopez,Chairperson,pasiglahin@yahoo.com.ph,Pasig River Rehabilitation Commission (PRRC),1608 Quezon Avenue,"Diliman, Quezon City 1100",,"Tel. No. 926-5232, 926-6449",,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTYmsxRGZzSjFJejA/view?usp=drivesdk,,Done
34,General Manager,Abaya,Peter Anthony A. Abaya,General Manager and Chief Executive,info@pea.gov.ph,Philippine Reclamation Authority (PRA),7th Floor Legaspi Towers 200 Bldg.,"Paseo de Roxas, Makati City Metro Manila 1226",,Tel. No. 817-4711 to 13,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTaUZoZldCRnl4MGM/view?usp=drivesdk,,Done
35,Chairperson,Devanadera,Nelson P. Devanadera,Chairman,oed@pcsd.gov.ph,Palawan Council for Sustainable Development (PCSD),PCSD Building Sports Complex Road,"Sta. Monica Heights, Puerto Princesa City, Palawan",,"Tel. No. (6348) 434-4234, 434-4235",,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTaE9OOWFpU0Z1NDQ/view?usp=drivesdk,,Done
36,Director,David,Dr. Sevillo D. David Jr.,Executive Director,rbalikpala@nwrd.gov.ph,National Water Resources Board (NWRB),"8th Floor, NIA Building, EDSA","Diliman, Quezon City 1100",,Tel. No. 928-2365,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTR180dlpodzVJeVE/view?usp=drivesdk,,Done
37,President,Mondragon,Atty. Lito A. Mondragon,President & CEO," info@pmdc.com.ph
",Philippine Mining Development Corporation (PMDC),"3001B & C West Tower, Philippine Stock Exchange Center","Ortigas Center, Pasig City 1605, Philippines",,Telefax. 706-1630 to 31,,pmdc.com.ph,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTcHo4amFIc09YdDQ/view?usp=drivesdk,,Done
38,Director,Meimban,Jacob F. Meimban Jr.,Executive Director,denr.rbco@gmail.com,River Basin Control Office (RBCO),"5th Floor DENR Main Building, Visayas Avenue","Diliman, Quezon City 1100",,"Tel. No. 924-2540 Trunkline 929-6626 Local 2231, 2190",,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTOGl2MXh6NEd0OUE/view?usp=drivesdk,,Done
39,Director,Gaelan,Noel Antonio V. Gaerlan,Executive Director,mbco_2011@yahoo.com,Manila Bay Coordinating Office (MBCO),"DENR Central Office, Visayas Avenue","Diliman, Quezon City 1100",mbco_2011@yahoo.com,Tel. No. 928-1225 Trunkline 929-6626 Local 2102,,www.themanilabay.com,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTTTFuR2dQcGpRYk0/view?usp=drivesdk,,Done
40,Director,,,Executive Director,,Coastal Marine Management Office (CMMO),"Ninoy Aquino Parks and Wildlife Center, North Avenue","Diliman, Quezon City 1100",,Tel. No. 924-6031 Local 207,,,,Done,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTMDBuWlB2VTdoTjQ/view?usp=drivesdk,,Done
41,Honorable,De Guzman,Emmanuel De Guzman,Coordinator,info@climate.gov.ph,Climate Change Commission (CCO),"2/U Little Presidents Learning Palace, 1558 J.P. Laurel Street, Malacañan Complex","San Miguel, Manila, 1005 Philippines",,"Tel. No. 929-8349, 928-1194",,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTVXZNeWNTV1JyZFE/view?usp=drivesdk,,Done
42,Director,Ildefonso,Eligio Ildefonso,Secretariat Executive Director, nswmc2004@yahoo.com / nswmc@emb.gov.ph,National Solid Waste Management Commission (NSWMC),"2/F HRD Bldg., DENR Compound, Visayas Ave.","Diliman, Quezon City 1100",,Tel. No. 920-2252 Local 2249,,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTeGxPdWVHZV9pbFE/view?usp=drivesdk,,Done
43,Engineer,Pacis,Engr. Henry P. Pacis,National Coordinator,hooacus@yahoo.com,DENR - CARP National Coordinating Office,"DENR Compound, Visayas Avenue","Diliman, Quezon City 1100",,"Tel. No. 927-4340, 925-1181 Trunkline 929-6626 Local 2020",,,,,,https://drive.google.com/a/dream.upd.edu.ph/file/d/0B1JdBADBT1tTS1FWeURfRWVfbXc/view?usp=drivesdk,,Done
