Province|Municipality|Address|Landline|Fax|Email|||||
Zamboanga del Norte|Municipality of Sergio  Osmeña Sr.||Tel.: (065) 311-6283|||||||
Zamboanga del Norte|Municipality of Siayan||Tel.: 0917-8108123||mayorflv@yahoo.com|||||
Zamboanga del Norte|Municipality of Sibuco||Tel.: 0908-5001308||bong.edding@yahoo.com|||||
Zamboanga del Norte|Municipality of Sibutad||Tel.: 0917-7262827; (065) 311-3711||melvin_andong@yahoo.com|||||
Zamboanga del Norte|Municipality of Sindangan||Tel.: 0917-7217601;  (065) 224-2795 ; (065)  224-2109||niloflorentinosy@yahoo.com|||||
Zamboanga del Norte|Municipality of Siocon||Tel.: 0917-7962072|||||||
Zamboanga del Norte|Municipality of Sirawai||Tel.: 0917-9340048|| mhari70@gmail.com|||||
Zamboanga del Norte|Municipality of Tampilisan||Tel.: 0929-4786514|| angelesiicarloto@yahoo.com|||||
|Provincial Government of Zamboanga del Sur|Provincial Capitol, 7016 Pagadian City, Zamboanga del Sur|Tel.: (062) 214-22944; (062) 214-1666|||||||
Zamboanga del Sur|Municipality of Aurora||Tel.: (062) 331-2097; (062) 331-2060|||||||
Zamboanga del Sur|Municipality of Bayog||Tel.: (062) 211-6735; |||||||
Zamboanga del Sur|Municipality of Dimataling||Tel.: 0918-8111133; 0928-5214078|||||||
Zamboanga del Sur|Municipality of Dinas||Tel.: 0999-9918923|||||||
Zamboanga del Sur|Municipality of Dumalinao||Tel.: 0917-7140982|||||||
Zamboanga del Sur|Municipality of Dumingag||Tel.: (062) 211-2643|||||||
Zamboanga del Sur|Municipality of Guipos||Tel.: (062) 211-3012;  (062) 211-3653|||||||
Zamboanga del Sur|Municipality of Josefina||Tel.: (062) 214-2531|||||||
Zamboanga del Sur|Municipality of Kumalarang||Tel.: 0926-9170156|||||||
Zamboanga del Sur|Municipality of Labangan||Tel.: 0917-3521559|||||||
Zamboanga del Sur|Municipality of Lakewood||Tel.: 0917-3175677|||||||
Zamboanga del Sur|Municipality of Lapuyan||Tel.: 0949-3366970|||||||
Zamboanga del Sur|Municipality of Mahayag||Tel.: 0920-9052023|||||||
Zamboanga del Sur|Municipality of Margosatubig||Tel.: (062) 211-5637|||||||
Zamboanga del Sur|Municipality of Midsalip||Tel.: 0999-8890126|||||||
Zamboanga del Sur|Municipality of Molave||Tel.: (062) 225-2170; (062) 225-1201; (062) 225-1849|||||||
Zamboanga del Sur|Pagadian City (Capital)|||||||||
Zamboanga del Sur|Municipality of Pitogo||Tel.: 0920-9682117|||||||
Zamboanga del Sur|Municipality of Ramon Magsaysay||Tel.: (062) 211-1349|||||||
Zamboanga del Sur|Municipality of San Miguel||Tel.: 0917-5478831|||||||
Zamboanga del Sur|Municipality of San Pablo||Tel.: 0939-9172668|||||||
Zamboanga del Sur|Municipality of Sominot||Tel.: (062) 225-1322|||||||
Zamboanga del Sur|Municipality of Tabina||Tel.: 0920-8498771|||||||
Zamboanga del Sur|Municipality of Tambulig||Tel.: 0921-5298346|||||||
Zamboanga del Sur|Municipality of Tigbao||Tel.: (062) 211-1836|||||||
Zamboanga del Sur|Municipality of Tukuran||Tel.: 0905-9673959|||||||
Zamboanga del Sur|Municipality of Vicenzo A. Sagun||Tel.: (062) 221-5569|||||||
Zamboanga del Sur|Zamboanga City|||||||||
|Provincial Government of Zamboanga Sibugay|Provincial Capitol, 7001 Ipil Heights, Zamboanga Sibugay|Tel.: (062) 333-5590; 0917-7174988|(062) 333-5557||||||
Zamboanga Sibugay|Municipality of Alicia||Tel.: 0915-7666157; 0919-5863293||lgualicia@yahoo.com ; rembert_sotto@yahoo.com|||||
Zamboanga Sibugay|Municipality of Buug||Tel.: 0918-3090495 ; 0918-9481673|||||||
Zamboanga Sibugay|Municipality of Diplahan||Tel.: (062) 991-3711|||||||
Zamboanga Sibugay|Municipality of Imelda||Tel.: (062) 333-2361|||||||
Zamboanga Sibugay|Ipil City (Capital) ||Tel.: (062) 332-2361 ; (062) 333-2360; (062) 333-2360|||||||
Zamboanga Sibugay|Municipality of Kabasalan||Tel.: (062) 328-2147|||||||
Zamboanga Sibugay|Municipality of Mabuhay||Tel.: 0921-4389163|||||||
Zamboanga Sibugay|Municipality of Malangas||Tel.: (062) 212-1742|||||||
Zamboanga Sibugay|Municipality of Naga||Tel.: 0917-3509216|||||||
Zamboanga Sibugay|Municipality of Olutanga||Tel.: (062) 993-0612|||||||
Zamboanga Sibugay|Municipality of Payao||Tel.: 0918-3131915|||||||
Zamboanga Sibugay|Municipality of Roseller T. Lim||Tel.: 0917-6339879|||||||
Zamboanga Sibugay|Municipality of Siay||Tel.: 0917-8615313|||||||
Zamboanga Sibugay|Municipality of Talusan||Tel.: 0920-9572864|||||||
Zamboanga Sibugay|Municipality of Titay||Tel.: (062) 333-2459;|||||||
Zamboanga Sibugay|Municipality Tungawan||Tel.: 0927-3988986|||||||
|Provincial Government of Bukidnon|Provincial Capitol, 8700 Malaybalay, Bukidnon|Tel:  (088) 221-2523; (088) 813-2457 ; (065) 212-3225 ; (0965) 212-1317|||||||
Bukidnon|Municipality of Baungon||Tel.: (088) 856-3556; 0917-8178053||lgubaungonmmo@yahoo.com|||||
Bukidnon|Municipality of Cabanglasan||Tel.: 0917-7187079|||||||
Bukidnon|Municipality of Damulog||Tel.: 0935-8852629|| romeotiong62@yahoo.co.uk|||||
Bukidnon|Municipality of Dangcagan||Tel.: 0917-7246063|| lgudangcagan@yahoo.com|||||
Bukidnon|Municipality of Don Carlos||Tel.: (088) 226-2449|| lgu.doncarlos@yahoo.com|||||
Bukidnon|Municipality of Impasug-ong||Tel: (088) 813-4338|Telefax: (088) 228-3301 ; (088) 228-3006|nbabasol@yahoo.com|||||
Bukidnon|Municipality of Kadingilan||Tel.: 0917-7193900||lgu-kadingilan@yahoo.com|||||
Bukidnon|Municipality of Kalilangan||Tel.: 0999-9928825||lgukalilangan@yahoo.com|||||
Bukidnon|Municipality of Kibawe||Telefax: (088) 357-1418||kibawebuk@yahoo.com|||||
Bukidnon|Municipality of Kitaotao||Tel.: 0917-9536229||rodito_rafisura@yahoo.com|||||
Bukidnon|Municipality of Lantapan||Tel.: (088) 228-3334|||||||
Bukidnon|Municipality of Libona||Tel.: 0908-8699201||lgulibona2013@yahoo.com|||||
Bukidnon|Malaybalay City (Capital)||Tel.: (088) 813-2744 ; (088) 841-2750 ; (088) 813-2744|||||||
Bukidnon|Municipality of Malitbog||Tel.: 0915-9389390|||||||
Bukidnon|Municipality of Manolo Fortich||Tel.: (088) 230-2437 ; (088) 228-2460||lgumanolofortich@yahoo.com|||||
Bukidnon|Municipality of Maramag||Tel.: (088) 356-1024|||||||
Bukidnon|Municipality of Pangantucan||Tel.: 0918-9476488|||||||
Bukidnon|Municipality of Quezon ||Tel.: (088) 222-5316|||||||
Bukidnon|Municipality of San Fernando||Tel.: 0917-7209798 ||odetteluis@yahoo.com|||||
Bukidnon|Municipality of Sumilao||Tel.: (088) 230-3727|| lgusumilao@yahoo.com|||||
Bukidnon|Municipality of Talakag||Tel.: 0916-6225174|||||||
Bukidnon|City of Valencia||Tel.: (088) 222-2130; (088) 222-2020 ; (088) 222-2130|||||||
|Provincial Government of Camiguin|Provincial Capitol, 9100 Mambajao, Camiguin Province|Tel.: (088) 387-1022; (088) 387-2110|(088) 387-1022; 387-1097 loc.115||||||
Camiguin|Municipality of Catarman||Tel.: (088) 387-7017; (088) 387-7083|||||||
Camiguin|Municipality of Guinsiliban||Tel.: (088) 387-4516; (088) 387-4537|||||||
Camiguin|Municipality of Mahinog||Tel.: (088) 387-3031; (088) 387-3092|||||||
Camiguin|Municipality of Mambajao||Tel.: (088) 387-0106; (088) 387-1120|||||||
Camiguin|Municipality of Sagay||Tel.: (088) 387-6029; (088) 387-6029|||||||
|Provincial Government of Lanao del Norte|Provincial Capitol, 9209 Tubod, Lanao del Norte|Tel.: (063) 341-5241|Fax: (063) 341-5345||||||
Lanao del Norte|Municipality of Bacolod||Tel.: (063) 227-2001;  (063) 227-2002|||||||
Lanao del Norte|Municipality of Balo-i||Tel.: (063) 223-4555|||||||
Lanao del Norte|Municipality of Baroy||Tel.: (063) 498-0127; (063) 373-6219|||||||
Lanao del Norte|Iligan City (Capital)||Tel.: (063) 221-9060; (063) 225-4510 to 14|||||||
Lanao del Norte|Municipality of Kapatagan||Tel.: (063) 382-8313; (063) 382-8318|||||||
Lanao del Norte|Municipality of Kauswagan||Tel.: (063) 227-1003; (063) 227-1002|||||||
Lanao del Norte|Municipality of Kolambugan||Tel.: (063) 355-4423; (063) 227-0226|||||||
Lanao del Norte|Municipality of Lala||Tel.: (063) 388-7020|||||||
Lanao del Norte|Municipality of Linamon||Tel.: (063) 227-0221; (063) 227-0226|||||||
Lanao del Norte|Municipality of Magsaysay||Tel.: 0917-3221482|||||||
Lanao del Norte|Municipality of Maigo||Tel.: (063) 836-0014 ;  (063) 227-4011|||||||
Lanao del Norte|Municipality of Matungao||Tel.: 0921-3985547|||||||
Lanao del Norte|Municipality of Munai||Tel.: (063) 221-2895|||||||
Lanao del Norte|Municipality of Nunungan||Tel.: (063) 221-2198; 09153764115|||||||
Lanao del Norte|Municipality of Pantao-Ragat||Tel.: (063) 223-1070|||||||
Lanao del Norte|Municipality of Pantar||Tel.: 0939-9034662|||||||
Lanao del Norte|Municipality of Poona Piagapo||Tel.: 0910-7634444|||||||
Lanao del Norte|Municipality of Salvador||Tel.: 0916-5781095|||||||
Lanao del Norte|Municipality of Sapad||Tel.: 0908-5333325|||||||
Lanao del Norte|Municipality of Sultan Naga Dimaporo||Tel.: 0927-3657253|||||||
Lanao del Norte|Municipality of Tagoloan||Tel.: (063) 225-0566|||||||
Lanao del Norte|Municipality of Tangkal||Tel.: 0947-9925743|||||||
Lanao del Norte|Municipality of Tubod||Tel.: (063) 341-5596; (063) 341-5566|||||||
|Provincial Government of Misamis Occidental|Provincial Capitol, 7207 Oroquieta City, Misamis Occidental|Tel.: (088) 531-0469|||||||
Misamis Occidental|Municipality of Aloran||Tel.: (088) 545-4077; (088) 586-0935|||||||
Misamis Occidental|Municipality of Baliangao||Tel.: 0916-4005758|||||||
Misamis Occidental|Municipality of Bonifacio||Tel.: 0908-2802419|||||||
Misamis Occidental|Municipality of Calamba||Tel.: (088) 221-3227; (088) 221-3221; (088) 271-3455|||||||
Misamis Occidental|Municipality of Clarin||Tel.: (088) 564-1190; (088) 564-2970|||||||
Misamis Occidental|Municipality of Concepcion||Tel.: (088) 585-0831|||||||
Misamis Occidental|Municipality of Don Victoriano Chiongbian||Tel.: (088) 521-1336|||||||
Misamis Occidental|Municipality of Jimenez||Tel.: (088) 272-3808; (088) 272-3215|||||||
Misamis Occidental|Municipality of Lopez Jaena||Tel.: (088) 841-1670||mmpg@gmail.com|||||
Misamis Occidental|Oroquieta City (Capital)||Tel.: (088) 531-1213; (088) 531-1397|||||||
Misamis Occidental|Ozamis City||Tel.: (088) 521-1390; (088) 521-0366||nova1110582@gmail.com|||||
Misamis Occidental|Municipality of Panaon||Tel.: (088) 586-0124;||tatapanaon@yahoo.com|||||
Misamis Occidental|Municipality of Plaridel||Tel.: (088) 344-8200; |||||||
Misamis Occidental|Municipality of Sapang Dalaga||Tel.: (088) 586-0121; (088) 586-0120||lgusapangdalaga@gmail.com|||||
Misamis Occidental|Municipality of Sinacaban||Tel.: (088) 586-0290||lgu_sinacaban@yahoo.com.ph|||||
Misamis Occidental|Tangub City||Tel.: (088) 354-1414; (088) 545-0248|||||||
Misamis Occidental|Municipality Tudela||Tel.: (088) 586-0083; Tel.: (088) 586-0073|||||||
|Provincial Government of Misamis Oriental|Provincial Capitol, 9000 Cagayan de Oro City, Misamis Oriental|Tel.: (0882) 729-995|Fax: (088) 729-5824||||||
Misamis Oriental|Municipality of Alubijid||Tel.: (088) 875-6128; (088) 875-6128|||||||
Misamis Oriental|Municipality of Balingasag||Tel.: (088) 720-902|||||||
Misamis Oriental|Municipality of Balingoan||Tel.: (088) 387-3522|||||||
Misamis Oriental|Municipality of Binuangan||Tel.: (088) 742-695; (088)  720-851|||||||
Misamis Oriental|Cagayan De Oro City (Capital)||Tel.: (088) 729-900; (088) 721-722|||||||
Misamis Oriental|Municipality of Claveria||Tel.: (088) 358-1445; (088) 358-1711|||||||
Misamis Oriental|El Salvador City||Tel.: (088) 754-034 ; (088) 755-207|||||||
Misamis Oriental|Gingoog City||Tel.: 0917-7122345; 0920-9135648|||||||
Misamis Oriental|Municipality of Gitagum||Tel.: 0921-7842535|||||||
Misamis Oriental|Municipality of Initao||Tel.: 0918-8111213|||||||
Misamis Oriental|Municipality of Jasaan||Tel.: 0917-8538765|||||||
Misamis Oriental|Municipality of Kinoguitan||Tel.: (088) 720-601|||||||
Misamis Oriental|Municipality of Lagonglong ||Tel: (088) 720-801|||||||
Misamis Oriental|Municipality of Laguindingan||Tel.: (088) 756-738|||||||
Misamis Oriental|Municipality of Libertad||Tel.: (088) 285-5388|||||||
Misamis Oriental|Municipality of Lugait||Tel.: (088) 225-1611;|||||||
Misamis Oriental|Municipality of Magsaysay||Tel.: (088) 350-5402|||||||
Misamis Oriental|Municipality of  Manticao||Tel.: (088) 721-100; (088)  727-280|||||||
Misamis Oriental|Municipality of Medina||Tel.: (088) 331-2105/ 2107; 0917-7938678|||||||
Misamis Oriental|Municipality of Naawan||Tel.: (088) 720-556; (088) 273-7616|||||||
Misamis Oriental|Municipality of Opol||Tel.: (088) 754-003;  (088) 875-4004; (088) 875-4611|||||||
Misamis Oriental|Municipality of Salay||Tel.: (088) 382-2003; |||||||
Misamis Oriental|Municipality of Sugbongcogon||Tel.: (088) 720-654|||||||
Misamis Oriental|Municipality of Tagoloan||Tel.: (088) 740-222; (088) 874-2817|||||||
Misamis Oriental|Municipality of Talisayan||Tel.: (088) 387-3705|||||||
Misamis Oriental|Municipality of Villanueva||Tel.: (088) 740-505; (088) 740-085 ;  (084) 567-0333|||||||
|Provincial Government of Compostela Valley|Provincial Capitol, 8800 Nabunturan, Compostela Valley|Tel : (084) 376-1052; (084)  376-0137; (084)  376-0136||chiongkee@comval.gov.ph|||||
Compostela Valley|Municipality of Compostela||Tel.: (084) 400-9453; (084) 400-9356||gaudencioacma@yahoo.com|||||
Compostela Valley|Municipality of Laak||Tel.: 0919-5829460||lgu_laak@yahoo.com|||||
Compostela Valley|Municipality of Mabini||Tel.: (084) 370-6010||zene11129@yahoo.com|||||
Compostela Valley|Municipality of Maco||Tel.: (084) 370-2260; Tel.: (084) 370-2258||mpdcmaco@yahoo.com|||||
Compostela Valley|Municipality of Maragusan||Tel.: (084) 336-1944||llechud804@yahoo.com|||||
Compostela Valley|Municipality of Mawab||Tel.: 0917-6318618||merivicobeñita@yahoo.com|||||
Compostela Valley|Municipality of Monkayo||Tel.: (084) 822-0423||evelyn.dinopol@gmail.com|||||
Compostela Valley|Municipality of Montevista||Tel.: 0918-3894233||indaygella61@yahoo.com|||||
Compostela Valley|Nabunturan (Capital)||Tel.: (084) 376-1071; (084) 376-1072; (084) 376-1153||newbatmpdc@yahoo.com|||||
Compostela Valley|Municipality of New Bataan||Tel.: 0917-3049686||letecia08@yahoo.com|||||
Compostela Valley|Municipality of Pantukan||Tel.: (084) 372-0385||flormiranda@yahoo.com|||||
|Provincial Government of Davao del Norte|Provincial Capitol, 8100 Tagum City, Davao del Norte|Tel.: (084) 400-2678|Fax: (084) 400-5332||||||
Davao del Norte|Municipality of Asuncion||Telefax:  (084) 373-0219||betau_80b@yahoo.com|||||
Davao del Norte|Municipality of Braulio E. Dujali||Telefax:  (084) 822-0425||rafaellalcones@yahoo.com|||||
Davao del Norte|Municipality of Carmen||Tel.: (084) 628-4674|Fax: (084) 628-6435|valleo@gmail.com|||||
Davao del Norte|Island Garden City of Samal||Tel.: (084) 3010006||mapaigacos@yahoo.com|||||
Davao del Norte|Municipality of Kapalong||Telfax.: (084) 371-0688||mbo_fpa@yahoo.com|||||
Davao del Norte|Municipality of New Corella||Tel.: 0917-7188923||joelquina@yahoo.com|||||
Davao del Norte|City of Panabo||Tel.: (084) 628-5284||citymayor@panabocity.gov.ph;|||||
Davao del Norte|Municipality of San Isidro||Tel.: 0918-5814188||mbo_garcia@yahoo.com|||||
Davao del Norte|Municipality of Sto. Tomas||Telefax: (084) 829-0286|| benigniandamon@gmail.com|||||
Davao del Norte|City of Tagum (Capital)||Tel: (084) 217-3819||mayorsofficetagumcity@yahoo.com.ph; alrellon@yahoo.com|||||
Davao del Norte|Municipality of Talaingod||Tel.: 0915-5116230||k_cabajar@yahoo.com|||||
|Provincial Government of Davao del Sur|Provincial Capitol, 8002 Matti, Digos, Davao del Sur|Tel.: (082) 553-5100|Fax: (082)  553-9142||||||
Davao del Sur|Municipality of Bansalan||Tel.: (082) 553-9295;|Telefax: (082) 553-9210||||||
Davao del Sur|Davao City||Tel.: (082) 227-2577; |Fax: (082)  224-3004||||||
Davao del Sur|City of Digos (Capital)||Tel.: (082) 553-8455|||||||
Davao del Sur|Municipality of Don Marcelino||Tel.: 0908-8626736|||||||
Davao del Sur|Municipality of Hagonoy||Tel.: (082) 511-1997; (082) 511-1998||girly_sarda@yahoo.com|||||
Davao del Sur|Municipality of Jose Abad Santos||Tel.: (082) 275-1694; (082) 222-2942; ||rvsioco_rs12@yahoo.com|||||
Davao del Sur|Municipality of Kiblawan||Tel.: 0918-9858637||ficbudget@yahoo.com|||||
Davao del Sur|Municipality of Magsaysay|||||||||
Davao del Sur|Municipality of Malalag||Tel.: (082) 276-0417; Tel.: (082) 276-0417|||||||
Davao del Sur|Municipality of Malita||Tel.: 0918-8038874|||||||
Davao del Sur|Municipality of Matanao||||matanaodavaodelsur@yahoo.com|||||
Davao del Sur|Municipality of Padada||Tel.: (082) 272-0054|||||||
Davao del Sur|Municipality of Sarangani||Tel.: 0915-2833426||rabiacmarandang@gmail.com|||||
Davao del Sur|Municipality of Sta. Cruz||Tel.: (082) 272-1147||marygracebalingan@yahoo.com|||||
Davao del Sur|Municipality of Sta. Maria||Tel.: (082) 276-0248|||||||
Davao del Sur|Municipality of Sulop||Tel.: (082) 272-0378|||||||
|Provincial Government of Davao Oriental|Provincial Capitol, 8200 Mati, Davao Oriental|Tel.: (087) 811-5100|Fax: (087) 811-5110|arapatrice@yahoo.com|||||
Davao Oriental|Municipality of Baganga||Tel: (087) 311-1000; (087) 311-5200||blinkcircuit@gmail.com|||||
Davao Oriental|Municipality of Banaybanay||Telefax: (087) 808-1386||mariogentiles@yahoo.com|||||
Davao Oriental|Municipality of Boston||Telefax: (082) 440-3509 ; (082) 440-3511||lguboston@yahoo.com|||||
Davao Oriental|Municipality of Caraga||Tel.: (087) 311-5000; (087) 311-5090||rebeccaconstantinopla@yahoo.com|||||
Davao Oriental|Municipality of Cateel||Tel.: 0918-6967244||sanjosenoneg@yahoo.com|||||
Davao Oriental|Municipality of Gov. Generoso||Tel.: 0929-2499846||"govgendavaooriental@yahoo.com
 "|||||
Davao Oriental|Municipality of Lupon||Tel.: (087) 808-1043|| joyjoel_salidaga@yahoo.com|||||
Davao Oriental|Municipality of Manay||Tel.: (087) 440-3410 ; (087) 811-5605|Telefax: (087) 440-3534|lgumanay@yahoo.com|||||
Davao Oriental|City of Mati (Capital) ||Tel.: (087) 811-0459||cos.maticitymayor@gmail.com|||||
Davao Oriental|Municipality of San Isidro||Tel.: (087) 440-3420;  (087) 440-3421||er_dahilig@yahoo.com|||||
Davao Oriental|Municipality of Tarragona||Tel.: (087) 440-3419||mayosel@yahoo.com|||||
|Provincial Government North Cotobato|Provincial Capitol, 9400 Amas, Kidapawan City, Cotabato|Tel: (064) 278-7002 / Telefax: (064) 278-7001|(064) 278-7001||||||
North Cotobato|Municipality of Alamada||Tel.: (064) 229-8994 / 299-9144|||||||
North Cotobato|Municipality of Aleosan||Tel.: (064) 229-6678|||||||
North Cotobato|Municipality of Antipas||Tel.: (064) 523-0008|||||||
North Cotobato|Municipality of Arakan|||||||||
North Cotobato|Municipality of Banisilan|||||||||
North Cotobato|Municipality of Carmen|||||||||
North Cotobato|Municipality of Kabacan||Tel: (064) 248-2742 / Telefax: 248-2352|||||||
North Cotobato|City of Kidapwan (Capital) ||Telefax: (064) 288-1604|||||||
North Cotobato|Municipality of Libungan||Tel.: (064) 229-5002|||||||
North Cotobato|Municipality of M'lang||Tel.: (064) 268-4004; 268-4157|||||||
North Cotobato|Municipality of Magpet||Telefax: (064) 427-3159|||||||
North Cotobato|Municipality of Makilala||Tel: (064) 268-2137 / Telefax: (064) 268-2130|||||||
North Cotobato|Municipality of Matalam||Tel: (064) 392-1482|||||||
North Cotobato|Municipality of Midsayap||Tel.: (064) 229-8018 / Telefax: 229-9266|||||||
North Cotobato|Municipality of Pigcawayan||Tel.: (064) 229-3422 / Telefax: 229-3222|||||||
North Cotobato|Municipality of Pikit||Tel.: (064) 457-0002|||||||
North Cotobato|Municipality of President Roxas||Tel.: (064) 278-4736|||||||
North Cotobato|Municipality of Tulunan||Tel.: (064) 288-5229 / 288-5632 / 288-1873|||||||
|Provincial Government of Sarangani|Provincial Capitol, 9501 Alabel, Sarangani Province|Tel.: (083) 508-2165|||||||
Sarangani|Alabel City (Capital)||Tel.: (083) 552-7321 / 508-2084 / 508-2118|||||||
Sarangani|Municipality of Glan||Tel.: (083) 262-1004 / 262-1005|||||||
Sarangani|Municipality of Kiamba||Tel.: (083) 509-4101 / Telefax: 509-4100|||||||
Sarangani|Municipality of Maasim||Tel.: (083) 552-9445|||||||
Sarangani|Municipality of Maitum||Tel.: (083) 552-2215|||||||
Sarangani|Municipality of Malapatan||Tel.: (083) 241-0399|||||||
Sarangani|Municipality of Malungon||Telefax: (083) 556-6118|||||||
|Provincial Government of South Cotabato|Provincial Capitol, 9506 Koronadal, South Cotabato|Tel.: (083) 228-2432 / Telefax: 228-2620|||||||
South Cotabato|Municipality of Banga||Telefax: (083) 239-1652|||||||
South Cotabato|General Santos City||Tel.: (083) 554-4214 / Telefax: 554-4212|||||||
South Cotabato|Koronadal City (Capital)||Tel.: (083) 228-8265 / Telefax: (083) 228-3627|||||||
South Cotabato|Municipality of Lake Sebu||Tel.: 0920-8583214|||||||
South Cotabato|Municipality of Norala||Telefax: (083) 234-1024 |||||||
South Cotabato|Municipality of Polomolok||Tel.: (083) 500-8269 / Telefax: 500-8479|||||||
South Cotabato|Municipality of Sto. Niño||Telefax: (083) 235-1024|||||||
South Cotabato|Municipality of Surallah||Tel.: (083) 238-3578 / 238-3387|||||||
South Cotabato|Municipality of T’boli||Tel.: (083) 237-1081 . Telefax: 227-1007|||||||
South Cotabato|Municipality of Tampakan||Tel.: (083) 227-1081 / Telefax: 227-1007|||||||
South Cotabato|Municipality of Tantangan||Tel.: (083) 229-2712 / 228-7506|||||||
South Cotabato|Municipality of Tupi||Tel.: (083) 226-2800 / 228-8503|||||||
|Provincial Government of Sultan Kudarat|Provincial Capitol, 9805 Isulan, Sultan Kudarat|Telefax: : (064) 201-4262|(064) 201-4262||||||
Sultan Kudarat|Municipality of Bagumbayan||Telefax: (064) 384-2604|||||||
Sultan Kudarat|Municipality of Columbio||Tel: (083) 202-6473|||||||
Sultan Kudarat|Municipality of Esperanza||Tel.: (064) 202-6011 / Telefax: 202-6473|||||||
Sultan Kudarat|Isulan City (Capital)||Telefax: (064) 201-3526|||||||
Sultan Kudarat|Municipality of Kalamansig||Telefax: (064) 204-6026|||||||
Sultan Kudarat|Municipality of Lambayong|||||||||
Sultan Kudarat|Municipality of Lebak||Tel: (064) 205-3357 / Telefax: 205-3132|||||||
Sultan Kudarat|Municipality of Lutayan||Telefax: (083) 228-1520|||||||
Sultan Kudarat|Municipality of Palimbang|||||||||
Sultan Kudarat|Municipality of President Quirino||Tel.: (064) 384-2654|||||||
Sultan Kudarat|Municipality of Sen. Ninoy S. Aquino|||||||||
Sultan Kudarat|Munciipality of Tacurong City||Telefax: (064) 477-0138|||||||
|Provincial Government of Agusan del Norte||Tel.: (085) 342-8022 / (085) 815-1467|||||||
Agusan del Norte|Municipality of Buenavista||Tel.: (085) 343-5407 / 0912-7312240|||||||
Agusan del Norte|Butuan City (Capital)||Tel.: (085) 342-3074 / (085) 225-5737 / 0918-8180113|||||||
Agusan del Norte|City of Cabadbaran ||Tel.: (085) 343-0504 / 0917-3220444|||||||
Agusan del Norte|Municipality of Carmen||Tel.: (085) 343-3786 / 0928-5013343|||||||
Agusan del Norte|Municipality of Jabonga||Tel.: (085) 360-1790 / 0917-7035438|||||||
Agusan del Norte|Municipality of Kitcharao||Tel.: 0917-7237386|||||||
Agusan del Norte|Municipality of Las Nieves||Tel.: (085) 360-1755 / 0918-9177732|||||||
Agusan del Norte|Municipality of Magallanes||Tel.: (085) 343-0088 / 0918-5399156|||||||
Agusan del Norte|Municipality of Nasipit||Tel.: (085) 343-2392 / 0947-8084684|||||||
Agusan del Norte|Municipality of Remedios T. Romualdez||Tel.: (085) 343-1060 / 0918-5399156|||||||
Agusan del Norte|Municipality of Santiago||Tel.: (085) 343-1309; 0928-3939725|||||||
Agusan del Norte|Municipality of Tubay||Tel.: 0908-3245086 / 0918-6139258|||||||
|Provincial Government of Agusan del Sur|Provincial Capitol, 8400 Surigao City, Surigao del Norte|Tel.: (085) 242-3746 / 343-7369|||||||
Agusan del Sur|City of Bayugan ||Tel.: (085) 231-2002 / 0908-4476140|||||||
Agusan del Sur|Municipality of Bunaw-an||Tel.: (085) 266-2505|||||||
